RegionName,Year,HomeownershipRate,RentalRate,HomeValue_MillionUSD,HomeownerAffordability,RenterAffordability,Income_Tier,Less_than_High_School_Rate,Bachelors_or_Higher_Rate,ElderlyRate,SalesTotal_Million,CPI,MortgageRate,National_Unemployment,NonSingleHouseholdRate,Nominal_GDP_TrillionUSD
"State College, PA",2021,0.6565596856636183,0.3434403143363816,0.2814743302116448,0.2657586385589824,0.3021606116507021,Lower-Middle Income,12.0,45.3,0.1555161972233331,50.32906591666666,270.96791666666667,2.957692307692308,5.358333333333333,0.5707083000104315,23.6812
"Stockton, CA",2021,0.6130832230311052,0.3869167769688947,0.5073287318257217,0.3495399951657006,0.3199156014384804,Upper-Middle Income,6.5,20.1,0.1319377763139559,412.3899333333333,270.96791666666667,2.957692307692308,5.358333333333333,0.7515428524156188,23.6812
"Sumter, SC",2021,0.6655691525361722,0.3344308474638278,0.1624073837772824,0.1809442692386456,0.2598604604874881,Low Income,6.5,22.0,0.1902534945721818,34.98111158333334,270.96791666666667,2.957692307692308,5.358333333333333,0.6256562219905248,23.6812
"Tallahassee, FL",2021,0.5905041655710264,0.4094958344289736,0.2364496618783029,0.2527585590292202,0.2542655534729455,Lower-Middle Income,15.7,40.4,0.1558919941001273,137.33724475,270.96791666666667,2.957692307692308,5.358333333333333,0.5701861840290916,23.6812
"Terre Haute, IN",2021,0.6838436678352322,0.3161563321647677,0.1258268461183276,0.1598003026438854,0.1859914532161642,Low Income,4.8,19.7,0.1758607922991484,25.38007733333333,270.96791666666667,2.957692307692308,5.358333333333333,0.5953111305872042,23.6812
"Toledo, OH",2021,0.6541540826972709,0.3458459173027291,0.15099049658918254,0.1876421707739191,0.2036516643980237,Lower-Middle Income,14.3,30.2,0.1753322250111375,117.95045608333331,270.96791666666667,2.957692307692308,5.358333333333333,0.5812823751212637,23.6812
"Topeka, KS",2021,0.6960453390007084,0.3039546609992916,0.16231168860894685,0.18708857887657,0.1863539637034864,Lower-Middle Income,8.4,31.4,0.195564533459406,51.55408241666666,270.96791666666667,2.957692307692308,5.358333333333333,0.5960745093136642,23.6812
"Tucson, AZ",2021,0.6463841458346801,0.3536158541653199,0.3124150849396952,0.2860006479667112,0.2746029481118484,Lower-Middle Income,11.2,34.9,0.2066851705749836,660.8254725,270.96791666666667,2.957692307692308,5.358333333333333,0.6182644269395218,23.6812
"Tulsa, OK",2021,0.654517981113256,0.345482018886744,0.19648593504845563,0.2120185754104281,0.2435352193198693,High Income,8.4,30.7,0.1605511081429147,410.1592469166667,270.96791666666667,2.957692307692308,5.358333333333333,0.6428589151287485,23.6812
"Tuscaloosa, AL",2021,0.6412177755953843,0.3587822244046157,0.191945160070808,0.1909378236696758,0.2808655672884733,Low Income,12.8,26.4,0.1551841822995972,86.36609166666668,270.96791666666667,2.957692307692308,5.358333333333333,0.6450773385710779,23.6812
"Tyler, TX",2021,0.6891653834308592,0.3108346165691407,0.2240281260204704,0.2249163958094804,0.2490626729643849,High Income,10.6,27.7,0.1708321739057111,58.74199041666666,270.96791666666667,2.957692307692308,5.358333333333333,0.6967908838928242,23.6812
"Urban Honolulu, HI",2021,0.5931622364260721,0.4068377635739278,0.7875412571015754,0.4283486181809093,0.3023751944658399,High Income,15.0,37.1,0.1877179310413732,869.7217150833334,270.96791666666667,2.957692307692308,5.358333333333333,0.6868760962220454,23.6812
"Valdosta, GA",2021,0.5498109589536714,0.4501890410463286,0.16344515687179387,0.2197233453655442,0.2885652873558664,Low Income,5.1,22.3,0.1313110143595013,47.46623,270.96791666666667,2.957692307692308,5.358333333333333,0.6042439262649469,23.6812
"Vallejo, CA",2021,0.6202249757323132,0.3797750242676868,0.5653125626447567,0.3533844099350597,0.3022213621656868,Upper-Middle Income,5.3,29.4,0.1691682384507079,315.84026166666666,270.96791666666667,2.957692307692308,5.358333333333333,0.696644397495194,23.6812
"Visalia, CA",2021,0.5728885823562606,0.4271114176437394,0.3045895155687606,0.269935998079051,0.3023358198771287,Low Income,4.9,16.2,0.1166576530120279,136.96410841666665,270.96791666666667,2.957692307692308,5.358333333333333,0.784312496081259,23.6812
"Waco, TX",2021,0.6190546123871624,0.3809453876128375,0.21894946571463558,0.2420516397506817,0.2550202440447834,Lower-Middle Income,11.4,27.3,0.1494661033566857,84.28967516666667,270.96791666666667,2.957692307692308,5.358333333333333,0.6352190174078208,23.6812
"Warner Robins, GA",2021,0.659991187799366,0.3400088122006339,0.1871367412068478,0.1903807251957979,0.248571489428634,Low Income,4.7,28.8,0.1426559314915542,61.364343833333336,270.96791666666667,2.957692307692308,5.358333333333333,0.7151669343491053,23.6812
"Wenatchee, WA",2021,0.6151306797872117,0.3848693202127883,0.45945955126692023,0.3492057803546536,0.2702723972203263,Upper-Middle Income,10.3,29.2,0.1965672682460151,110.62987675,270.96791666666667,2.957692307692308,5.358333333333333,0.6623772577219874,23.6812
"Wichita, KS",2021,0.6511797110487475,0.3488202889512524,0.16857966923175427,0.1826614737809404,0.1833511033368333,Upper-Middle Income,10.2,30.9,0.160418200423201,187.51148591666663,270.96791666666667,2.957692307692308,5.358333333333333,0.6474338986032158,23.6812
"Wichita Falls, TX",2021,0.65190162896246,0.34809837103754,0.14348203269379933,0.1873384694576779,0.2063985505960409,Lower-Middle Income,3.3,23.7,0.1597712951219021,31.56425,270.96791666666667,2.957692307692308,5.358333333333333,0.6363508426274496,23.6812
"Wilmington, NC",2021,0.6403713757425548,0.3596286242574452,0.3435019927668227,0.2775756696703253,0.2617742315456114,Upper-Middle Income,22.2,39.7,0.1872303680529618,292.1902551666667,270.96791666666667,2.957692307692308,5.358333333333333,0.5752075219324128,23.6812
"Yuba City, CA",2021,0.5771872006753576,0.4228127993246424,0.39715471825380877,0.3501800665460458,0.3294692568225596,Low Income,5.5,18.1,0.1482047741171828,85.88004425,270.96791666666667,2.957692307692308,5.358333333333333,0.7348734516291378,23.6812
"Yuma, AZ",2021,0.7010976113948867,0.2989023886051133,0.22984280403558704,0.2307341790102789,0.274961026667901,Low Income,4.4,17.3,0.194067346248611,70.58000491666667,270.96791666666667,2.957692307692308,5.358333333333333,0.7467225030341019,23.6812
"Abilene, TX",2022,0.6064514166653993,0.3935485833346007,0.18135901848967584,0.2598339203301849,0.2320888638149365,Lower-Middle Income,12.7,25.5,0.1507940016134201,50.385648166666655,292.6254166666667,5.344038461538462,3.641666666666667,0.6857481787903213,26.0069
"Akron, OH",2022,0.6848169598654495,0.3151830401345504,0.1927921989859229,0.2376662888930234,0.1945456575396418,Upper-Middle Income,11.5,36.8,0.194135261393266,182.59920575,292.6254166666667,5.344038461538462,3.641666666666667,0.6103666228111818,26.0069
"Albany, GA",2022,0.5866051609322974,0.4133948390677026,0.14146674468455198,0.2167872841785269,0.1962539897480887,Low Income,5.1,22.0,0.1681296836467719,32.67519541666667,292.6254166666667,5.344038461538462,3.641666666666667,0.652122641509434,26.0069
"Albuquerque, NM",2022,0.7122046216970467,0.2877953783029533,0.30401385513222234,0.3491891988382298,0.2629357292497459,Lower-Middle Income,9.5,36.0,0.1857174554211651,349.2001554166667,292.6254166666667,5.344038461538462,3.641666666666667,0.596335424841424,26.0069
"Amarillo, TX",2022,0.6557167615746472,0.3442832384253528,0.19565669081136716,0.2799863879926739,0.2322514284824908,Upper-Middle Income,9.6,25.7,0.1498195078827169,77.0222615,292.6254166666667,5.344038461538462,3.641666666666667,0.6474077742015351,26.0069
"Ames, IA",2022,0.5969953125306451,0.4030046874693549,0.2318167159219745,0.2797400114112606,0.1787295801479594,Lower-Middle Income,10.0,50.8,0.1472973186994187,34.007573,292.6254166666667,5.344038461538462,3.641666666666667,0.5458254064761606,26.0069
"Anchorage, AK",2022,0.6789743521275318,0.3210256478724682,0.3669279034634439,0.323046676175509,0.2009115465154911,High Income,5.2,33.4,0.1299922590955627,,292.6254166666667,5.344038461538462,3.641666666666667,0.6559700396534,26.0069
"Appleton, WI",2022,0.7392587440381558,0.2607412559618442,0.26825451141416246,0.2673491397869323,0.1647769740619085,Upper-Middle Income,13.2,36.0,0.1688782699258714,59.306031916666655,292.6254166666667,5.344038461538462,3.641666666666667,0.6581875993640699,26.0069
"Asheville, NC",2022,0.6967365307150051,0.303263469284995,0.39631240317902905,0.4247405671112315,0.3109609483781772,Upper-Middle Income,9.0,41.4,0.2402010620242316,380.67055525,292.6254166666667,5.344038461538462,3.641666666666667,0.6419310171198389,26.0069
"Bakersfield, CA",2022,0.609608126697471,0.390391873302529,0.327364879389073,0.3806174258621173,0.2999854040072708,Low Income,6.5,19.0,0.1179282355355482,327.2266621666667,292.6254166666667,5.344038461538462,3.641666666666667,0.7429438115057669,26.0069
"Bangor, ME",2022,0.680952380952381,0.319047619047619,0.22919320104053023,0.2906400982210596,0.2396312239792472,Lower-Middle Income,12.3,27.5,0.2018880445531671,38.74115866666666,292.6254166666667,5.344038461538462,3.641666666666667,0.6025174400970579,26.0069
"Barnstable Town, MA",2022,0.821601500181925,0.1783984998180749,0.6563107001039973,0.5357407761479804,0.3190464859055739,High Income,19.0,50.1,0.33656117045303,427.684593,292.6254166666667,5.344038461538462,3.641666666666667,0.6110069318107606,26.0069
"Baton Rouge, LA",2022,0.6980144217243881,0.3019855782756119,0.22421937959897695,0.2769473124561164,0.2369342677982954,Upper-Middle Income,9.7,30.1,0.1558850479921196,254.5083245,292.6254166666667,5.344038461538462,3.641666666666667,0.6326280409257148,26.0069
"Bay City, MI",2022,0.7469550420920652,0.2530449579079348,0.14050146966603855,0.2030542111324984,0.1945922152616269,Low Income,17.8,22.4,0.2149269118176248,29.455738166666666,292.6254166666667,5.344038461538462,3.641666666666667,0.5962967938384381,26.0069
"Bellingham, WA",2022,0.6525370993429171,0.3474629006570829,0.5690942855340857,0.5633894290201226,0.2945556984899445,Upper-Middle Income,17.0,40.4,0.1903527443134773,184.27179725,292.6254166666667,5.344038461538462,3.641666666666667,0.5695210572389862,26.0069
"Bend, OR",2022,0.6834492644639751,0.3165507355360248,0.6435427825983501,0.5043088587147612,0.2748969463038163,High Income,10.8,44.8,0.2153338917157672,334.90095875,292.6254166666667,5.344038461538462,3.641666666666667,0.6466489636696903,26.0069
"Billings, MT",2022,0.7242959969693143,0.2757040030306857,0.36355530969601035,0.3887826283326266,0.2210418200780209,High Income,12.6,35.1,0.1937352792732166,39.764844166666656,292.6254166666667,5.344038461538462,3.641666666666667,0.637605758302816,26.0069
"Bismarck, ND",2022,0.7202061527017694,0.2797938472982307,0.310496330397753,0.2994613986173137,0.1680749568888532,High Income,20.8,33.5,0.1826641969247249,54.56285516666666,292.6254166666667,5.344038461538462,3.641666666666667,0.6245328799390751,26.0069
"Bloomington, IL",2022,0.6434907591573629,0.3565092408426371,0.2100438365739736,0.2622285501245662,0.1924878059025961,Upper-Middle Income,9.3,47.5,0.1453304585108185,56.08819991666666,292.6254166666667,5.344038461538462,3.641666666666667,0.5652666269835509,26.0069
"Bloomington, IN",2022,0.564206915597157,0.435793084402843,0.2675453245104738,0.344731292230825,0.3033185773420779,Lower-Middle Income,17.0,46.6,0.1577589361583357,64.53249266666666,292.6254166666667,5.344038461538462,3.641666666666667,0.5149925146436825,26.0069
"Boise City, ID",2022,0.7336804707156489,0.2663195292843511,0.47314855514137544,0.4112490784808434,0.2494666757312719,Upper-Middle Income,10.9,37.9,0.160018235416275,529.6360190833333,292.6254166666667,5.344038461538462,3.641666666666667,0.678776852518342,26.0069
"Brunswick, GA",2022,0.6919204578685717,0.3080795421314283,0.2771680485216434,0.3241355006335177,0.3164727327705296,Lower-Middle Income,8.9,29.9,0.2383751811806224,103.11393033333331,292.6254166666667,5.344038461538462,3.641666666666667,0.6449429753101893,26.0069
"Burlington, NC",2022,0.6247130124777184,0.3752869875222816,0.25785342154912727,0.2914050409203056,0.2277208389474762,Low Income,4.1,26.3,0.1730052791843631,62.022758333333336,292.6254166666667,5.344038461538462,3.641666666666667,0.6584812834224599,26.0069
"Carson City, NV",2022,0.596854126265891,0.403145873734109,0.43818643980621835,0.4465396181563556,0.2930448108661226,Upper-Middle Income,8.3,24.0,0.2285566832960605,33.31212525,292.6254166666667,5.344038461538462,3.641666666666667,0.5626804567981039,26.0069
"Casper, WY",2022,0.7492083408018163,0.2507916591981837,0.26829296475360426,0.2862153820786082,0.1803080369677644,High Income,3.7,31.6,0.1742817301290185,38.85812866666666,292.6254166666667,5.344038461538462,3.641666666666667,0.6484435681424389,26.0069
"Cedar Rapids, IA",2022,0.7648725461728656,0.2351274538271344,0.2008503340398564,0.234691310712613,0.1524876533637811,Upper-Middle Income,9.5,35.0,0.1815655026270719,83.909558,292.6254166666667,5.344038461538462,3.641666666666667,0.6079331978284015,26.0069
"Charleston, WV",2022,0.6892674871010179,0.310732512898982,0.12713573367594408,0.1789493197792531,0.1791622830374636,Lower-Middle Income,7.9,24.5,0.2131676205528548,35.05825333333333,292.6254166666667,5.344038461538462,3.641666666666667,0.5997443529049534,26.0069
"Cheyenne, WY",2022,0.7231842853450504,0.2768157146549496,0.35175648204346277,0.3619765407056278,0.1949319591029487,Upper-Middle Income,8.9,28.4,0.1740813915391718,55.426641833333335,292.6254166666667,5.344038461538462,3.641666666666667,0.6429897319015955,26.0069
"Chico, CA",2022,0.5729265158678207,0.4270734841321793,0.4053416815770039,0.4887496105248675,0.2901087764609405,Lower-Middle Income,7.1,34.5,0.1855737736549881,94.0750995,292.6254166666667,5.344038461538462,3.641666666666667,0.5426334036414769,26.0069
"Cleveland, TN",2022,0.7205087182810507,0.2794912817189493,0.25999430943695284,0.3140844788360877,0.2719102759884662,Low Income,12.0,24.1,0.1747523259321129,57.97971125,292.6254166666667,5.344038461538462,3.641666666666667,0.6972194657647988,26.0069
"Coeur d'Alene, ID",2022,0.7090689814749891,0.2909310185250108,0.5470129515541667,0.5264614291273614,0.2775923295772842,Upper-Middle Income,7.6,29.6,0.2034230681236313,168.48596166666667,292.6254166666667,5.344038461538462,3.641666666666667,0.6624128791597134,26.0069
"Colorado Springs, CO",2022,0.6522690601707593,0.3477309398292407,0.45395084948127434,0.3684358304117436,0.2391788975595055,Upper-Middle Income,14.5,42.3,0.1457610422458663,666.87590125,292.6254166666667,5.344038461538462,3.641666666666667,0.6606927051691588,26.0069
"Columbia, MO",2022,0.6097233749843667,0.3902766250156333,0.2692828464734621,0.3061292637972405,0.1788146510132286,Upper-Middle Income,12.2,47.3,0.1435629502349254,67.9680375,292.6254166666667,5.344038461538462,3.641666666666667,0.5510670471729219,26.0069
"Columbia, SC",2022,0.7007408672504873,0.2992591327495126,0.23378793253468558,0.2669002069292685,0.2607879715262314,Lower-Middle Income,12.9,36.7,0.1608874220928422,349.90791125,292.6254166666667,5.344038461538462,3.641666666666667,0.6359355951967303,26.0069
"Columbus, IN",2022,0.7088221628528284,0.2911778371471715,0.231450939378902,0.2273524959982323,0.1916305342938287,Upper-Middle Income,19.7,33.7,0.1707445535073019,33.1069105,292.6254166666667,5.344038461538462,3.641666666666667,0.6142699500522709,26.0069
"Columbus, OH",2022,0.6119882827904352,0.3880117172095648,0.28569074476014117,0.3023911189496898,0.207109563977907,Upper-Middle Income,13.0,40.0,0.1457966209748643,731.147079,292.6254166666667,5.344038461538462,3.641666666666667,0.6200372147457358,26.0069
"Corpus Christi, TX",2022,0.6184951875419691,0.3815048124580308,0.21846713369130447,0.3157802310162184,0.2767123166541225,Lower-Middle Income,9.6,22.3,0.1564815429715294,164.54781125,292.6254166666667,5.344038461538462,3.641666666666667,0.7020880631854954,26.0069
"Corvallis, OR",2022,0.562488733228606,0.437511266771394,0.5113553569438234,0.5424409571998929,0.2787964436672711,Upper-Middle Income,9.6,55.8,0.1793506094438185,45.7519265,292.6254166666667,5.344038461538462,3.641666666666667,0.534238108727563,26.0069
"Danville, IL",2022,0.6526302192656699,0.3473697807343301,0.07728654816187902,0.1624563463305874,0.1473083046426422,Low Income,1.7,15.5,0.2032293293888328,9.300724916666667,292.6254166666667,5.344038461538462,3.641666666666667,0.54099525301127,26.0069
"Decatur, AL",2022,0.7671521655806822,0.2328478344193177,0.2088968840143208,0.2295364853473539,0.2069538839957812,Low Income,5.3,22.4,0.1838399237732253,35.23663716666666,292.6254166666667,5.344038461538462,3.641666666666667,0.6660597930241472,26.0069
"Dothan, AL",2022,0.7022926163777327,0.2977073836222673,0.16673023977277576,0.2266645336687072,0.2537219812007901,Low Income,9.7,21.5,0.1958732469167371,39.64381483333334,292.6254166666667,5.344038461538462,3.641666666666667,0.6430140085848335,26.0069
"Dover, DE",2022,0.7400574173095501,0.2599425826904499,0.3141749271757561,0.3132514270413714,0.2765895411828161,Low Income,5.0,25.3,0.1850534378911557,72.5629985,292.6254166666667,5.344038461538462,3.641666666666667,0.6948855055308379,26.0069
"Dubuque, IA",2022,0.7238706820194862,0.2761293179805137,0.23141814557083712,0.2602097643724649,0.1525714377164654,Upper-Middle Income,17.4,33.5,0.1950505183578746,35.159324833333336,292.6254166666667,5.344038461538462,3.641666666666667,0.6202637535675622,26.0069
"East Stroudsburg, PA",2022,0.8184340214357101,0.1815659785642899,0.2818013775282327,0.3236285546899072,0.2663567203140236,Lower-Middle Income,14.2,29.2,0.1948468283113434,107.10995008333332,292.6254166666667,5.344038461538462,3.641666666666667,0.6920770582761829,26.0069
"Eau Claire, WI",2022,0.6780877816662747,0.3219122183337252,0.2653761189135624,0.2973027874575399,0.1707532914910651,Upper-Middle Income,13.6,33.9,0.1814056345165971,54.926008166666655,292.6254166666667,5.344038461538462,3.641666666666667,0.5972639121353381,26.0069
"El Paso, TX",2022,0.62662319354935,0.3733768064506499,0.20031442836217708,0.3163330780808798,0.2875684135752042,Low Income,12.7,25.8,0.1308848727739311,164.80275775,292.6254166666667,5.344038461538462,3.641666666666667,0.7039858833987309,26.0069
"Enid, OK",2022,0.6584540643706082,0.3415459356293918,0.11731515163111438,0.1685588495179101,0.1916970496577727,Low Income,10.0,22.6,0.1799418604651163,15.46221825,292.6254166666667,5.344038461538462,3.641666666666667,0.6611434024464301,26.0069
"Erie, PA",2022,0.6969070682745359,0.3030929317254641,0.17151825459271342,0.249391608542147,0.1610514528864805,Lower-Middle Income,14.5,31.3,0.1965751300949983,48.357953166666654,292.6254166666667,5.344038461538462,3.641666666666667,0.597235950613734,26.0069
"Fairbanks, AK",2022,0.5958079023450048,0.4041920976549952,0.2922928737315815,0.2826318065452479,0.2210413919202582,High Income,18.7,28.5,0.1205587482696421,,292.6254166666667,5.344038461538462,3.641666666666667,0.6060338365992076,26.0069
"Fayetteville, NC",2022,0.618471057430479,0.3815289425695209,0.217281099079188,0.2937471203983064,0.2692776187520169,Low Income,8.2,26.6,0.1329522139810095,225.13604416666664,292.6254166666667,5.344038461538462,3.641666666666667,0.6603393147482814,26.0069
"Flagstaff, AZ",2022,0.5643105875379714,0.4356894124620286,0.5791069755587213,0.5916400298696483,0.3673951334614945,Upper-Middle Income,5.2,42.1,0.1425655976676385,138.081873,292.6254166666667,5.344038461538462,3.641666666666667,0.5775172260502334,26.0069
"Florence, SC",2022,0.6454607199456645,0.3545392800543355,0.16877532256194194,0.2556733920470807,0.3298820531154843,Lower-Middle Income,5.1,24.3,0.1857231103008753,48.73353083333333,292.6254166666667,5.344038461538462,3.641666666666667,0.6738359369104219,26.0069
"Fond du Lac, WI",2022,0.6774876018017199,0.3225123981982802,0.22652174418159304,0.2690812498209151,0.141676456658217,Upper-Middle Income,11.8,21.6,0.2036191686890866,24.176694,292.6254166666667,5.344038461538462,3.641666666666667,0.625233177123618,26.0069
"Fort Collins, CO",2022,0.6395903906315783,0.3604096093684217,0.5460726783677403,0.4540317736774936,0.2430831949978403,High Income,16.7,52.9,0.1755666915681965,313.5915270833333,292.6254166666667,5.344038461538462,3.641666666666667,0.6015570855814134,26.0069
"Fort Wayne, IN",2022,0.7067252995997477,0.2932747004002523,0.20980015475853148,0.2447380082603671,0.1919547163506284,Upper-Middle Income,13.0,30.6,0.1603094283648926,134.85820925,292.6254166666667,5.344038461538462,3.641666666666667,0.6422310381212311,26.0069
"Fresno, CA",2022,0.5498515204247342,0.4501484795752658,0.3775878114399646,0.40632063114113,0.3229538303140627,Lower-Middle Income,8.4,24.2,0.1290221534885095,345.95420975,292.6254166666667,5.344038461538462,3.641666666666667,0.7028267697511477,26.0069
"Gainesville, FL",2022,0.5893209177467388,0.4106790822532611,0.28356265676238057,0.364053990717296,0.2953412401218425,Lower-Middle Income,19.3,41.9,0.1734410934075798,132.65942041666668,292.6254166666667,5.344038461538462,3.641666666666667,0.5612110789536233,26.0069
"Gainesville, GA",2022,0.6985241689201006,0.3014758310798994,0.35579708314892977,0.3528546544639308,0.2651849466774439,Upper-Middle Income,5.1,30.4,0.1601658736576834,129.74001675,292.6254166666667,5.344038461538462,3.641666666666667,0.7362473261492514,26.0069
"Gettysburg, PA",2022,0.7642344379978365,0.2357655620021634,0.2756481151167734,0.2971009052923899,0.1630343691633402,Upper-Middle Income,10.7,24.3,0.2179916436379412,31.271618916666668,292.6254166666667,5.344038461538462,3.641666666666667,0.6731487855246336,26.0069
"Grand Junction, CO",2022,0.7529107569480147,0.2470892430519853,0.37561196203508546,0.4210391269416617,0.260722466761317,Lower-Middle Income,10.6,32.0,0.2113706850903956,112.64380908333331,292.6254166666667,5.344038461538462,3.641666666666667,0.6685366074938761,26.0069
"Great Falls, MT",2022,0.6926972809325751,0.3073027190674249,0.2803043767459138,0.3392333124853808,0.2210093498892387,Upper-Middle Income,4.4,28.0,0.1949118589743589,32.83439275,292.6254166666667,5.344038461538462,3.641666666666667,0.5814729932376991,26.0069
"Green Bay, WI",2022,0.6883800500065798,0.3116199499934202,0.265577807354029,0.2951571097137302,0.1459647611092527,Upper-Middle Income,13.7,30.0,0.1752388795368946,108.48290208333331,292.6254166666667,5.344038461538462,3.641666666666667,0.6043704581012121,26.0069
"Greenville, NC",2022,0.5283167418399211,0.471683258160079,0.2217644066930517,0.2978055146355036,0.2723997090018277,Lower-Middle Income,14.0,36.4,0.1483675421511795,53.0274595,292.6254166666667,5.344038461538462,3.641666666666667,0.5543115642264271,26.0069
"Hammond, LA",2022,0.7261506316624426,0.2738493683375573,0.2206155964787572,0.3037883067956292,0.2358200767252625,Low Income,2.7,20.3,0.1547924814663475,33.42211075,292.6254166666667,5.344038461538462,3.641666666666667,0.6531950705179052,26.0069
"Hattiesburg, MS",2022,0.661898823564764,0.3381011764352359,0.1836081222135996,0.2657203838051501,0.2445314991637134,Low Income,11.4,29.3,0.1605452128431526,38.58021108333334,292.6254166666667,5.344038461538462,3.641666666666667,0.6142254007842901,26.0069
"Hinesville, GA",2022,0.5324623115577889,0.467537688442211,0.2110266564887826,0.292445946092179,0.3007884373650766,Low Income,7.3,21.6,0.0939098254203588,35.93764766666666,292.6254166666667,5.344038461538462,3.641666666666667,0.7090117252931323,26.0069
"Homosassa Springs, FL",2022,0.8690780915614116,0.1309219084385884,0.27853198323915385,0.3974466181189875,0.3407329469516518,Low Income,6.8,19.4,0.3676636169545127,110.80894233333332,292.6254166666667,5.344038461538462,3.641666666666667,0.6455876799127187,26.0069
"Hot Springs, AR",2022,0.7150419056021173,0.2849580943978826,0.2281512216824553,0.3278890221544125,0.2787176564178998,Low Income,3.5,25.9,0.2515361328417708,52.40933008333334,292.6254166666667,5.344038461538462,3.641666666666667,0.5771283634759594,26.0069
"Huntsville, AL",2022,0.7046442927018257,0.2953557072981742,0.2986524080232635,0.2654060001007738,0.2026753159569766,Upper-Middle Income,16.1,43.9,0.1595152245536625,247.84121308333332,292.6254166666667,5.344038461538462,3.641666666666667,0.6427187757276381,26.0069
"Idaho Falls, ID",2022,0.7451715663966506,0.2548284336033494,0.3856021122681254,0.3685158124135083,0.1904479967579471,Lower-Middle Income,7.7,32.7,0.1330217823697622,68.7274525,292.6254166666667,5.344038461538462,3.641666666666667,0.7670155638481843,26.0069
"Iowa City, IA",2022,0.6280467629866548,0.3719532370133451,0.26098292227007913,0.3086803393241402,0.2161213687548913,Upper-Middle Income,20.5,51.1,0.1428898659709147,66.02185366666666,292.6254166666667,5.344038461538462,3.641666666666667,0.5061624572626007,26.0069
"Jackson, MS",2022,0.6761251572944463,0.3238748427055537,0.18551577668278532,0.2378075600323088,0.2519181577105269,Lower-Middle Income,10.2,33.0,0.1677071475439197,130.70843441666668,292.6254166666667,5.344038461538462,3.641666666666667,0.6353937046523458,26.0069
"Jackson, TN",2022,0.6602306210335449,0.3397693789664551,0.18467958408872842,0.2625707662208948,0.2440347264802539,Low Income,4.6,20.7,0.1808964693053712,67.858343,292.6254166666667,5.344038461538462,3.641666666666667,0.6440106527651859,26.0069
"Jacksonville, FL",2022,0.6720870918684694,0.3279129081315306,0.35721524428526524,0.362559042883925,0.2578858680779709,Upper-Middle Income,14.0,36.5,0.1729316308481155,1190.2798634166668,292.6254166666667,5.344038461538462,3.641666666666667,0.6707820828360808,26.0069
"Jacksonville, NC",2022,0.6408996284487075,0.3591003715512925,0.24871764843594046,0.2931572629838085,0.2332601659068405,Lower-Middle Income,2.3,28.5,0.1038022556898764,134.36227941666667,292.6254166666667,5.344038461538462,3.641666666666667,0.7143271232443542,26.0069
"Johnson City, TN",2022,0.6872610318924025,0.3127389681075975,0.23155931443965125,0.3080838558562066,0.2684937289020004,Low Income,12.9,32.0,0.2022572681485397,89.20164566666668,292.6254166666667,5.344038461538462,3.641666666666667,0.6149858305969143,26.0069
"Johnstown, PA",2022,0.7522498868266184,0.2477501131733816,0.11648163474056596,0.1864825717310715,0.1670371212723859,Low Income,14.6,23.3,0.2428085604948227,12.39649075,292.6254166666667,5.344038461538462,3.641666666666667,0.6162607514712539,26.0069
"Jonesboro, AR",2022,0.6263312557321205,0.3736687442678795,0.18133298574277873,0.2442483688560789,0.2368859692195331,Low Income,17.2,23.3,0.1455959619812267,41.911504,292.6254166666667,5.344038461538462,3.641666666666667,0.6772605611394987,26.0069
"Joplin, MO",2022,0.6658258173618941,0.334174182638106,0.1878300927537804,0.2664836502272802,0.2136648620368939,Low Income,7.4,24.8,0.171566550416653,41.2827575,292.6254166666667,5.344038461538462,3.641666666666667,0.6490980834272829,26.0069
"Kankakee, IL",2022,0.700800788468646,0.2991992115313539,0.18065980752682137,0.2565079928651145,0.2153393515241412,Lower-Middle Income,7.5,21.9,0.1759337820766634,28.750047,292.6254166666667,5.344038461538462,3.641666666666667,0.6431686583713194,26.0069
"Knoxville, TN",2022,0.7002837642998001,0.2997162357001999,0.2987087212563862,0.3123300091847386,0.2834582624233929,Upper-Middle Income,14.8,32.4,0.1892532486869591,518.1938735,292.6254166666667,5.344038461538462,3.641666666666667,0.6500637049500505,26.0069
"Kokomo, IN",2022,0.7430073842022824,0.2569926157977176,0.151175025461351,0.2006165178853965,0.1570171938338559,Low Income,11.3,20.4,0.2083662383037786,18.44935658333333,292.6254166666667,5.344038461538462,3.641666666666667,0.6053087939136272,26.0069
"Lafayette, LA",2022,0.671341736449589,0.328658263550411,0.1949145715140449,0.3016801422524441,0.2634109104641136,Lower-Middle Income,10.3,25.9,0.15764302416212,113.75240483333332,292.6254166666667,5.344038461538462,3.641666666666667,0.6233729470438977,26.0069
"Lake Charles, LA",2022,0.7003192088627402,0.2996807911372598,0.204555800118546,0.2598059774011926,0.1874295913185905,Lower-Middle Income,6.3,24.0,0.1661085193286745,58.39086141666666,292.6254166666667,5.344038461538462,3.641666666666667,0.6504725542968016,26.0069
"Lancaster, PA",2022,0.6973954795864463,0.3026045204135537,0.31656243213047297,0.3203502429918454,0.1920283281066895,High Income,12.9,32.6,0.1976828372219198,184.4669945833333,292.6254166666667,5.344038461538462,3.641666666666667,0.6848681231605162,26.0069
